term	content
기업 개인간(B2C) 지급결제시스템	기업 개인 간(B2C) 지급결제시스템은 기업 간(B2B) 지급결제시스템과는 달리 특정 지급결제시스템을 지칭하는 것이 아니라 인터넷쇼핑몰 등의 전자상거래에서 이루어지 는 판매자 및 구매자 간의 소액결제에 이용되는 지급결제시스템을 통칭하는 용어이다.
기업간(B2B) 지급결제시스템	기업 간(B2B) 지급결제시스템은 전자외상매출채권(전자채권)의 발행과 만기 시 결제를 처리하는 시스템으로 2002년 3월 가동되었다.
기업경기실사지수(BSI)	한 나라의 전체 경기는 기업과 소비자들이 느끼는 경기를 종합한 것이라고 할 수 있다.
기업공개	기업공개(IPO; Initial Public Offering)란 넓은 의미로는 기업의 전반적 경영내용을 공개하는 것을 의미하며 좁은 의미로는 주식을 다수의 투자자들에게 분산 매각하는 것을 말한다.
기업어음(CP)	기업어음(CP; Commercial Paper)은 신용상태가 양호한 기업이 상거래와 관계없이 운전자금 등 단기자금을 조달하기 위하여 자기신용을 바탕으로 발행하는 융통어음을 의미한다.
기저효과	기저효과(base effect)는 경제지표 증가율을 해석할 때 기준시점과 비교시점의 상대적 인 위치에 따라서 경제상황에 대한 평가가 실제보다 위축되거나 부풀려지는 등의 왜곡이 일어나는 것을 말한다.
기준금리	한국은행과 금융기관 간에 환매조건부채권매매(RP)와 대기성 여수신 등의 자금거래를 할 때 기준으로 적용된 다.
기준순환일	기준순환일이란 경기변동의 과정에서 국면전환이 이루어진 일자를 의미한다.
기준환율	기준환율이란 일반적으로 “자국 통화와 여러 외국 통화간의 환율결정에서 다른 외국 통화 환율 결정의 기준이 되는 환율”을 의미한다.
기초가격	기초가격(basic price)은 일정 기간 동안 경제주체가 생산한 생산물을 가격으로 평가함 에 있어 생산자가격에서 부가가치세와 같은 생산물세(production tax)를 제외하고 정부 에서 주는 보조금(subsidy)을 더한 가격을 의미하며, 순수하게 생산자(주로 기업) 가 갖게 되는 몫을 말한다.
기축통화	기축통화란 여러 국가의 암묵적인 동의하에 국제거래에서 중심적인 역할을 하는 통화를 지칭한다.
기타기본자본(Additional Tier 1)	기타기본자본(AT1; Additional Tier 1)은 요건을 충족하는 기타기본자본증권 및 이와 관련된 자본잉여금, 자회사가 발행한 기타기본자본증권의 제3자 보유분 중 일부 금액 등으로 구성된다.
기펜재	일반적으로 재화는 수요의 법칙에 따라 가격이 하락하면 수요량이 늘어난다.
기회비용	희소한 자원을 가지고 인간의 모든 욕구를 충족시킬 수 없기 때문에 인간은 누구든지 부족한 자원을 어느 곳에 우선으로 활용할 것인가를 결정하는 선택을 해야 한다.
긴급수입제한조치	긴급수입제한조치 즉, 세이프가드(safeguard)란 특정 품목의 수입이 급증하여 국내 업체에 심각한 피해가 발생하거나 그럴 우려가 있을 경우, 수입국이 관세 인상이나 수입량 제한 등을 통해 수입품에 대한 규제를 할 수 있는 제도이며 무역장벽의 하나라고 볼 수 있다.
긴축정책	경기과열 우려가 있는 경우에 재정 또는 통화정책으로 국민의 소득을 감소시켜 재화 및 서비스에 대한 수요를 위축시키고 경기의 과열을 방지하려는 정책을 긴축정책(contractionary policy)이라고 한다.
꼬리위험	경제에 미치는 충격의 확률분포곡선이 종(鐘) 모양이라고 가정한다면 양극단 꼬리부 분의 발생 가능성은 매우 낮지만 일단 발생하면 경제 전체에 지대한 영향을 줄 수 있는 위험이다.
낙수효과	정부가 경제정책으로 대기업과 고소득층 또는 부유층의 소득과 부를 먼저 늘려주게 되면 이들의 소비와 투자 증가를 통해 전체 경제활동이 활발해지면서 결국에는 중소기업과 저소득 층도 혜택을 볼 수 있다는 주장이다.
낙인효과	범죄학의 낙인이론에 따르면 일탈 또는 범죄행동은 관련 주체의 독자적 행동에 의해서도 발생하지만, 해당 행동에 대한 사회적 평가 또는 해당 행동을 한 주체의 사회적 소외의 결과로도 발생할 수 있다.
난외거래	은행의 권리 의무가 확정되지 않아 재무상태표상(on-balance sheet) 자산 부채로 기록되지 않는 거래를 의미한다.
납부자자동이체	납부자자동이체(standing order)는 은행지로 업무의 한 형태로 고객이 거래은행이 아닌 다른 은행에 대출원리금, 정기적금 등을 정기적으로 납부할 때 거래은행의 본인계좌 에서 다른 은행으로 자동 이체시켜 주는 업무로서 1994년 4월부터 실시되었다.
내국신용장	국내 외국환은행이 수출업자의 의뢰에 따라 수출업자 앞 국제 신용장(Master L/C) 을 담보로 하는 등의 방식으로 국내 제조업자 또는 공급업자 앞으로 발행하는 신용장을 말한다.
내부등급법	내부등급법은 부도율에 대해서만 자체 추정을 허용하고 나머지 요소들은 감독당국이 정한 값을 사용하도록 하는 기본내부 등급법과 모든 리스크 측정 요소의 자체 추정을 허용하는 고급내부등급법으로 구분된다.
내부자금	기업은 투자에 필요한 자금을 기업내부 또는 기업외부에서 조달하는데, 기업이 투자 재원을 내부유보, 감가상각충당금 등에서 조달한 것을 내부자금이라고 한다.
노동생산성/노동생산성지수	노동자 1인이 일정 기간 동안 산출해 내는 생산량으로 정의된다.
노동소득분배율	한 나라 국민의 생산활동으로 발생한 소득은 노동, 자본, 경영 등의 생산요소를 제공한 경제주체에 나누어진다.
녹색GDP	일반적으로 녹색GDP(Green GDP)는 한나라의 국내총생산(GDP)에서 생산활동 중 발생하는 자연자원의 감소나 환경피해 등의 손실액을 공제한 것으로 이해된다.
녹색기후기금(GCF)	개도국의 온실가스 감축과 기후변화 대응을 지원하기 위하여 만들어진 UN 산하의 국제금융기구이다.
단기금융시장	단기금융시장(money market)은 금융기관, 기업 등 경제주체들이 단기적인 자금수급 불균형을 조절하기 위하여 통상 만기 1년 이내의 단기 금융상품을 거래하는 시장이다.
단리/복리	단리(simple interest)는 원금에 대해서만 약정된 이율과 기간을 곱하여 이자를 산출하는 방식이다.
단위노동비용	단위노동비용이란 산출물 한 단위를 생산하는데 소요되는 노동비용을 말한다.
단일금리방식/복수금리방식	경쟁입찰에 따른 발행금리 결정방식에는 복수금리(conventional)방식과 단일금리(dutch)방식이 있다.
담보인정비율(LTV)	자산의 담보가치에 대한 대출 비율을 의미하며, 우리나라에서는 주택가격에 대한 대출 비율로 많이 알려져 있다.
당일결제/익일결제/익익일결제	현물환거래의 결제는 거래당사자 상호 간에 신용위험을 회피하기 위하여 거래계약일 과 동일한 날짜에 결제가 이루어지는 것을 원칙으로 하고 있다.
대기성 여수신제도	대기성 여수신제도(standing facilities)는 주요국 중앙은행에서 대출제도로 운용되고 대손충당금적립비율 있다.
대량지급	대량지급(direct credit)은 은행지로 업무의 한 유형으로서 급여, 연금, 배당금 등과 같이 일시 또는 정기적으로 발생하는 대량지급 거래를 위하여 공공기관이나 대기업 등 이용기관의 예금계좌에서 다수의 수취인 예금계좌로 지정된 날짜에 자금을 이체하는 업무이다.
대손충당금적립비율	기업이 보유하는 채권 중에서 거래상대방의 부도 등으로 받기 어려워 손실이 발생할 수 있는데, 이러한 손실을 충당하기 위해 미리 비용으로 처리해서 사내에 유보해둔 자금을 대손충당금이라고 한다.
대안정기	2002년 4월 전미경제연구소(NBER; National Bureau of Economic Research) 연례 세미나에서 미국 하버드대 스톡(J. Stock) 교수와 프린스턴대 왓슨(M. Watson) 교수가 주요국의 경기순환이 달라졌음을 설명하면서 처음 사용한 용어이다.
대외의존도/수출입의존도/무역의존도	국민경제가 가계, 기업, 정부 이외에 국외부문과의 상호작용에 의해서도 영향을 받게 되는 경제체제를 개방경제체제라고 한다.
대외지급준비자산	대외지급준비자산이란 일반적으로 한 나라의 통화 당국이 국민 경제 또는 통화신용에 커다란 영향을 미치지 않고 언제든지 대외 지급에 충당할 수 있도록 보유하고 있는 준비자산 즉 금, SDR, IMF position 및 보유외화를 말한다.
대체비용리스크	미래 특정일자에 종료될 거래의 상대방이 거래 취소 또는 파산 등으로 결제일 전에 결제를 이행하지 못할 것으로 예상하여 다른 거래로 대체하는 과정에서 발생할 비용리스 크를 의미한다.
대체재	비슷한 만족을 얻을 수 있어 서로 경쟁 관계에 있는 재화 또는 서비스를 말한다.
대출금 출자전환	금융기관이 차주기업에 대한 대출채권을 동 기업의 주식과 교환하는 것으로서 금융기 관의 차주기업에 대한 관계가 채권자에서 주주로 변하게 된다.
대출채권 분할매각	대출채권 유동화 방법의 하나로서, 대출을 취급한 금융기관이 대출채권의 전부 또는 일부를 타인(참가자)에게 매각하는 것을 말한다.
더블딥	경기가 두 번(double) 떨어진다(dip)는 뜻으로, 경기침체가 발생한 후 잠시 경기가 회복되다가 다시 경기침체로 접어드는 연속적인 침체 현상을 의미한다.
도덕적 해이	도덕적 해이는 거래당사자의 한쪽이 상대보다 양질의 정보를 더 많이 가지고 있는 상태(정보의 비대칭성)에서 계약이 이루어진 후에 나타날 수 있는 문제이다.
도드-프랭크법	동 법은 미국에서 2008년의 글로벌 금융위기가 발생한 이후 이러한 위기의 재발을 방지하기 위해 오바마 정부가 제안한 내용을 반영하여 2010년 7월에 제정되었으며 1930년대 대공황기의 금융개혁 이후 가장 광범위한 개혁방안을 담고 있다.
독점/과점	독점(monopoly)은 완전경쟁의 정반대인 시장형태로 어느 기업이 시장의 유일한 공급자로 그 기업이 공급하는 상품에 밀접한 대체재가 존재하지 않는 경우를 말한다.
동남아시아국가연합(ASEAN)	동남아시아의 지역협력기구로서 아세안(ASEAN; Association of South-East Asian Nations)이라고도 부른다.
동남아시아국가연합+한 중 일(ASEAN+3)	한국, 중국, 일본 및 ASEAN 10개국이 합의하여 1999년 출범한 국제회의체이다.
동남아중앙은행기구(SEACEN)	회원 간 정보 및 의견교환, 공동 관심분야에 대한 조사연구 및 연수활동을 주요 기능으로 하는 동남아 중앙은행들의 협력체로서 1966년 2월 동남아 7개국 주도로 출범하였다.
동아시아 외환위기	1997년 태국을 시작으로 인도네시아, 말레이시아, 필리핀, 한국 등 동아시아 국가들에서 발생한 외환위기를 말한다.
동아시아 태평양중앙은행기구(EMEAP)	EMEAP(Executives' Meeting of East Asia and Pacific Central Banks)는 동아시아, 태평양 지역 내 중앙은행 간의 협력을 증진하고 회원국의 금융 경제에 관한 정보교환을 위해 1991년 설립된 중앙은행간 협력체이다.
동일인 신용공여한도제(동일인 여신한도제)	특정인에 대한 금융기관의 여신 편중을 억제하기 위한 규제로 우리나라의 경우 은행법에 관련 내용이 규정되어 있다.
동일인/특수관계인	은행법상 각종 규제 적용에 있어 1인으로 보는 범위를 말한다. 동일인이란 본인 및 본인과 특수관계에 있는 자(특수관계인)를 말한다. 특수관계인의 범위는 일정 범위의 친족, 지분 보유, 고용, 의결권의 공동 행사 등을 요소로 하여 정해지며, 구체적인 내용은 은행법 시행령 제1조의 4에 규정되어 있다. 동행종합지수
동태적 대손충당금 제도	발생주의 대손충당금 회계기준(incurred-loss model)은 원리금 연체 등 신용손실이 객관 적으로 입증되는 경우에만 은행 대출에 대한 대손충당금을 적립하도록 하였다.
동행종합지수	개별 경제지표로는 파악하기 어려운 국민경제의 총체적인 경기수준을 파악하기 위하여 경기종합지수를 작성한다.
듀레이션	듀레이션(duration)이란 채권에서 발생하는 현금흐름의 가중평균만기로 투자자금의 평균회수기간을 의미한다.
등록발행	등록발행이란 채권을 실물발행(physical issue) 하지 않고 한국예탁결제원 등 등록기 관이 관리하는 채권등록부에 채권자의 성명, 주소, 채권금액 등 권리내역을 등록(book-entry)함으로써 증서의 점유 없이도 채권자의 법적 권리를 보장하는 것을 말한다.
디레버리징	디레버리징(deleveraging)은 부채를 축소하는 것을 말한다.
디스인플레이션	물가수준이 지속적으로 높아지고 있으나 물가상승률은 둔화되는 현상을 말한다.
디커플링/커플링	디커플링(decoupling)이란 탈동조화라고 번역할 수 있는데, 어떤 나라나 지역의 경제가 인접한 다른 국가나 전반적인 세계 경제의 흐름과는 다른 모습을 보이는 현상을 말한다.
디플레이션	디플레이션(deflation) 하에서는 물가상 승률이 마이너스로 하락하는 인플레이션이 나타난다.
래퍼곡선	미국의 경제학자 래퍼(A. Laffer)가 제시한 조세수입과 세율 간의 관계를 나타낸 곡선을 말한다.
레그테크	레그테크(RT; RegTech, Regulatory Technology)는 금융업 등 산업 전반에 걸쳐 혁신 정보기술(IT)과 규제를 결합하여 규제관련 요구사항 및 절차를 향상시키는 기술 또는 회사를 뜻한다.
레버리지 효과	안정성을 추구하는 저축과 달리 투자에서는 종종 레버리지 효과(leverage effect) 가 발생한다.
레버리지비율	레버리지비율은 ‘기본자본(Tier 1) / 총익스포저(난외자산 포함) × 100’으로 정의된다.
로렌츠곡선	1905년 미국의 통계학자인 로렌츠(M. Lorenz)가 소득의 불평등 정도를 측정하기 위해 제안한 것으로, 인구의 누적비율을 가로축에 소득의 누적점유율을 세로축에 놓고 이들의 관계를 그림으로 표시한 곡선을 말한다.
로보어드바이저	로보어드바이저(robo-advisor)는 로봇(robot)과 자문가(advisor)의 합성어이다.
리디노미네이션	리디노미네이션(redenomination) 또는 ‘화폐단위 변경’이란 구매력이 다른 새로운 화폐단위를 만들어 현재의 화폐단위로 표시된 가격, 증권의 액면가, 예금 채권 채무 등 일체의 금액을 법정비율(교환비율)에 따라 일률적으로 조정하여 새로운 화폐단위로 표기 및 호칭하는 것을 의미한다.
마샬의 k	마샬의 k(Marshallian k)는 경제 전체의 명목소득 대비 통화량 보유 비율을 의미한다.
마스트리히트조약	EC(유럽공동체)가 시장 통합을 넘어 정치 경제적 통합체로 결합하는 토대가 된 조약이다.
마이크로 크레디트	마이크로 크레디트(microcredit)란 은행 같은 전통적인 금융기관으로부터 금융서비스 를 받을 수 없는 빈곤계층에 소액의 대출과 여타의 지원 활동을 제공함으로써 이들이 빈곤에서 벗어날 수 있도록 돕는 소액대출사업을 말한다.
마찰적 실업	마찰적 실업 또는 탐색적 실업이란 새로운 일자리를 탐색하거나 이직을 하는 과정에서 일시적으로 발생하는 실업을 의미한다.
만기수익률	현실적으로 다양한 종류의 채권이 발행되고 있으나 일정한 시기마다, 예컨대 3개월마다, 이자를 지급하는 이표채(coupon bond)가 가장 보편적인 것이라고 할 수 있겠다.
매매보호 서비스(escrow)	판매자와 구매자 사이의 신용관계가 불확실한 전자상거래 시 신뢰할 수 있는 중립적인 제삼자가 중개역할을 하여 상거래가 원활히 이루어질 수 있도록 하는 서비스를 말한다.
매몰비용	기회비용은 어떤 것을 선택할 때 포기하여야 하는 비용을 말하지만, 매몰비용(sunk cost)은 무엇을 선택하는가에 상관없이 지급할 수밖에 없는 비용이다.
매입외환/환가료	매입외환은 외국환은행이 고객의 요청에 따라 매입한 외국통화로 표시된 수출환어음, 외화표시 내국신용장어음, 외화수표, 약속어음 등의 자산을 말한다.
매출액영업이익률	기업의 주된 영업활동의 효율성을 측정하는 지표로 제조 및 판매활동에 의해 창출된 영업손익을 매출액으로 나누어 산출한다.
머니마켓펀드(MMF)	머니마켓펀드(MMF; Money Market Fund)는 고객의 일시적인 여유자금을 금리위험과 신용위험이 적은 국공채, 어음 등에 운용하고 동 운용에서 발생하는 수익을 배당하는 펀드의 일종으로써 대표적인 단기금융상품이다.
명목GDP목표제	명목GDP목표제란 명목GDP가 사전에 정한 목표수준을 따라가는 것을 목표로 하는 통화정책 운영체제이다.
명목국내총생산/실질국내총생산	명목국내총생산(Nominal GDP)은 한 나라 안에서 생산된 최종생산물의 가치를 그 생산물이 생산된 기간의 가격을 적용하여 계산한 것으로 경상GDP(GDP valued at current prices)라고도 불린다.
명목금리/실질금리	금리는 돈의 가치 즉 물가변동을 고려하느냐의 여부를 기준으로 명목금리와 실질금리 로 구분할 수 있다.
명목소득/실질소득	명목소득(Nominal income)은 대상 경제주체의 소득이 발생할 당시의 통화금액으로 측정된 소득을 말하여, 실질소득(Real income)은 통화가치의 변동을 감안하여 명목소득 을 기준시점에 맞춰 조정한 것을 말한다.
모기지대출	모기지대출(mortgage loan)은 은행이 대출 실행 시 담보물인 주택 등 부동산에 주택저당채권(mortgage)을 설정하고 이를 근거로 하는 증권을 발행, 유통시켜 대출자금을 회수하는 것을 말한다.
모바일뱅킹	모바일뱅킹 서비스는 고객이 휴대전화 등 모바일기기를 수단으로 무선인터넷을 통하여 금융기관에 접속하여 이용할 수 있는 금융서비스이다.
모집	자본시장에서 불특정 다수로부터 동일한 조건으로 유가증권 취득의 청약을 권유하는 것을 말한다.
무디스	1909년 출판업자인 미국의 John Moody가 창업하였으며 1909년 채권신용 평가업무를 개시하였다.
무역지수	일반적으로 거래금액의 변동은 가격이 변하거나 물량이 변하거나 또는 가격과 물량이 동시에 변하기 때문이다.
물가안정목표제	물가안정목표제(inflation targeting)란 중앙은행이 명시적인 중간목표(intermediate target) 없이 일정기간 동안 또는 중장기적으로 달성해야 할 물가상승률 목표치를 미리 제시하고 이에 맞추어 통화정책을 운영하는 방식이다.
물가지수	시장에서 거래되는 여러 가지 상품과 서비스의 가격을 경제생활에서 차지하는 중요도 를 고려하여 평균한 종합적인 가격수준을 물가라고 하는데, 이 같은 물가의 변화를 한눈에 알아볼 수 있도록 기준연도의 물가수준을 100으로 놓고 비교되는 다른 시점의 물가를 지수의 형태로 나타낸 것을 말한다.
뮤추얼펀드	투자자들이 자금을 모아 투자 회사를 설립해 주식이나 채권 파생상품 등에 투자한 후 그 운용수익을 투자자 즉 주주들에게 배당금의 형태로 나누어주는 투자신탁의 하나이 다.
미달러화 지수	미달러화 지수(US dollar Index)는 주요국 통화 대비 미 달러화의 평균적인 가치를 나타내는 지표이다.
미달러화페그제도	페그제도란 자국통화를 외국의 단일통화나 복수의 통화바스켓에 연동시켜 고정환율을 유지하는 제도이다.
미발행화폐	미발행화폐란 한국은행이 보유하고 있는 은행권과 주화 중 사용하기에 적합하지 아니하여 폐기(잘게 썰거나, 분쇄 또는 녹이는 등의 방법으로 소각)하기로 결정한 화폐를 제외한 모든 은행권과 주화를 말한다.
바이오인증	바이오인증(Biometric Authentication, biometrics)은 개인을 식별하거나 인증하기 위해 각 개인마다 구별해서 측정할 수 있는 고유 생체정보를 자동화된 장치로 추출하여 보관하고 인증하는 기술이다.
바젤은행감독위원회/바젤위원회(BCBS)	1974년 독일의 헤르슈타트 은행(Bankhaus Herstatt)의 도산이 국제외환시장 및 은행 시스템에 심각한 영향을 미치면서 글로벌 은행감독기준 마련을 위한 공조 필요성이 발행시장 대두되었다.
발행시장	발행시장(primary market)이란 주식이나 채권 등의 유가증권을 신규로 발행하는 시장을 말한다.
발행중지화폐/유통정지화폐	발행중지화폐는 발권기관인 한국은행이 화폐의 원활한 유통 등을 위해 발행을 중지하기로 한 화폐이다.
방카슈랑스	방카슈랑스(Bancassurance)라는 말은 유럽에서 만들어지고 발전된 개념으로 은행을 의미하는 프랑스어 Banque와 보험을 의미하는 Assurance의 합성어이다.
배당할인모형	배당할인모형(dividend discount model)은 주식투자에 따라 발생하는 미래의 현금흐 름을 적절한 할인율을 적용하여 현재가치로 전환함으로써 주식의 현재가치를 평가하는 모형이다.
밴드웨건효과	소비자가 대중적으로 유행하는 정보를 쫓아 상품을 구매하는 현상을 말한다.
뱅크런	금융시장 상황이 불안하거나 은행의 경영 및 건전성 등에 문제가 발생하면 예금자들은 은행에 맡긴 돈을 보장받을 수 없을 것이라는 불안감에 저축한 돈을 인출하게 되고 은행은 지급할 수 있는 자금이 부족하게 되어 패닉 상태에 빠질 수 있다.
범위의 경제	한 기업이 여러 제품을 같이 생산할 경우가 개별 기업이 한 종류의 제품만을 생산하는 경우보다 평균 생산비용이 적게 들 때 범위의 경제(economies of scope)가 존재한다고 말한다.
법률리스크	각종 법률 위반이나 법률 제정 개정 등에 대한 인식 부족, 부적절하거나 부정확한 법률 자문 및 서류 작성, 미흡한 법률체계 또는 법적 불확실성 등으로 인해 발생하는 리스크를 말한다. 특히 자국 이외의 국가에서 경영활동을 할 때 현지국가의 법률이나 법률체계를 정확히 알지 못해 동 리스크에 직면할 가능성이 커진다. 변동금리부채권(FRN)
베블런효과	가격이 상승하면 수요량이 감소하는 수요의 법칙에 반하는 재화를 베블런재라 부른다. 사치재 또는 명품 등이 이에 해당하는데 이러한 재화는 가격이 비쌀수록 소비가 증가하는 경향이 있다. 이러한 과시 욕구를 반영한 소비현상을 베블런효과(Veblen's effect) 라고 부른다. 베블런은 이러한 현상을 처음으로 관찰한 학자의 이름이다.
변동금리	변동금리란 시장금리를 반영하여 일정 주기별로 약정금리가 변하는 금리를 의미하며 고정금리란 최초 약정한 금리가 만기 때까지 그대로 유지되는 금리를 의미한다.
변동금리부채권(FRN)	채권은 지급이자 변동 여부에 따라 고정금리부채권과 변동금리부채권(FRN; Floating Rate Note)으로 구분된다.
보기화폐(견양화폐)	보기화폐는 은행권 및 주화의 모양, 크기, 손상 정도, 위·변조 판단, 전시 및 연구실험 등을 위해 별도 제조하거나 사용중인 화폐에서 채취한 화폐를 말한다.
보완자본(Tier 2)	보완자본은 요건을 충족하는 보완자본증권 및 이와 관련된 자본잉여금, 자회사가 발행한 보완자본증권의 일부 제3자 보유분, 특정 요건을 충족하는 대손충당금 등으로 구성된다.
보완재	두 가지 이상의 재화가 함께 사용됨으로써 효용을 얻을 수 있는 재화로, 한 재화의 가격이 하락함에 따라 다른 한 재화의 수요가 증가하는 관계에 있는 재화를 말한다.
보통주자본(Common Equity Tier 1)	보통주자본(CET1; Common Equity Tier 1)은 보통주, 자본잉여금, 이익잉여금, 기타포괄손익누계액 등으로 구성된다.
보호무역주의	주된 수단으로는 수입금지나 수입할당과 같은 직접적인 방법과 수입상품에 부과하는 관세율 인상과 같은 간접적인 방법 이외에도 덤핑 규제, 보조금 지급, 지적재산권 보호 강화, 환율조작 등 기타 다양한 정부의 규제 등이 있다.
복수통화바스켓제도	복수통화바스켓제도란 자국과 교역비중이 큰 복수국가의 통화를 선택하여 통화군(basket)을 구성하고 동 basket을 구성하는 통화들의 가치가 변동할 경우 각 통화별 교역가중치에 따라 자국통화의 환율에 반영하는 환율 제도를 말한다.
본원소득	국민순소득(NNI; Net National Income)이라고도 한다.
본원소득수지	본원소득수지는 급료 및 임금과 투자소득으로 구분된다. 급료 및 임금은 외국인 근로자 에게 지급되거나 내국인 해외근로자가 수취하는 금액의 차이를 의미한다. 투자소득은 대외 금융자산과 부채의 보유에 의해 발생하는 배당금과 이자 등의 수입과 지급의 차이를 말하는데, 투자 형태에 따라 직접투자소득, 증권투자소득, 기타투자소득으로 세분된다.
본원통화	통화는 일차적으로 중앙은행의 창구를 통하여 공급되는데, 이를 통화량의 원천이 되는 통화라 하여 본원통화(RB; Reserve Base)라고 한다.
볼커룰	2010년 7월 미국 의회가 제정한 금융개혁법(Dodd-Frank Wall Street Reform and Consumer Protection Act) 의 제 619조로 이 법의 핵심이자 가장 큰 논란을 불러왔던 조항이다.
부가가치	부가가치(value added)는 일정 기간 동안에 경제활동주체가 생산활동에 참여하여 새로 이 창출한 가치를 말하는데, 총산출에서 중간투입(소비)을 차감하여 구할 수 있다.
부가가치기준 무역(TiVA)	부가가치기준 무역(TiVA; Trade in Value Added)은 새로운 무역통계 지표로서 최근 글로벌 생산네트워크의 확산으로 교역 총액에서 중간재가 차지하는 비중이 증가하면서 국제사회에서 관심이 증대되고 있다.
부가가치유발계수/부가가치계수	소비, 투자, 수출 등 최종수요의 발생이 국내생산을 유발하고 생산 활동에 의해서 부가가치가 창출되므로 최종수요의 발생은 부가가치 창출의 원천이 된다.
부동화/무권화	증권의 부동화(immobilization)란 실물증권을 중앙예탁기관에 집중 보관하여 매매거 래 또는 담보거래 등에 따른 증권의 권리이전을 계좌대체 방식으로 처리함으로써 증권의 실물인도의 필요성을 제거하는 것을 말한다.
부실채권정리기금	금융회사 부실자산 등의 효율적 처리 및 한국자산관리공사의 설립에 관한 법률 ('97.8.22일 제정) 제38조에 의거 금융기관이 보유하고 있는 부실채권의 효율적인 정리를 위하여 한국자산관리공사에 한시적(5년)으로 설치 운용하였다. 2013.2.22일자로 종료되었다.
부채담보부증권(CDO)	그리 고 발행목적에 따라 주로 은행 등의 금융기관이 대차대조표 상에서 위험자산을 제거하기 북미자유무역협정(NAFTA) 위하여 발행하는 Balance Sheet CDO와 고수익의 원자산인 대출금, 회사채 등과 선, 후순위 채권간의 이자차익을 얻기 위해 발행하는 Arbitrage CDO 등이 있다.
부채비율	부채를 자기자본으로 나눈 비율로 타인자본(부채)과 자기자본간의 관계를 나타내는 대표적인 안전성 지표이다.
북미자유무역협정(NAFTA)	미국 캐나다 멕시코 등 북미 3개국 간의 자유무역을 추진하기 위해 체결된 협정으로 서 1994년 1월 1일 공식 발효되었다.
분리결제	분리결제(free of payment)는 증권결제에서 증권인도와 대금지급이 동시에 이루어지지 않고 개별적으로 이루어지는 방식이다.
분산원장기술	분산원장기술(DLT; Distributed Ledger Technology)은 거래정보가 기록된 원장을 특정 기관의 중앙 서버가 아닌 공유(P2P; Peer-to-Peer) 네트워크에 분산하여 참가자가 공동으로 기록 관리하는 기술이다.
분수효과	분수효과(trickle-up effect, fountain effect)란 정부가 경제정책으로 저소득층과 중산 층의 소득을 먼저 늘려주면 이들의 소비 확대가 생산과 투자로 이어지면서 전체 경제활동 이 되살아나고 이로 인해 고소득층의 소득도 늘어날 수 있다는 주장이다.
불완전경쟁시장	시장에 의한 가격결정에 어떠한 영향도 미칠 수 없는 상태를 완전경쟁이라 한다.
불태화정책	수출입거래나 국경 간 자본유출입거래는 국내은행을 통해 국내통화로 전환되며 이에 따라 국내통화량이 변동하게 된다.
브레튼우즈체제	1944년 7월 미국의 뉴햄프셔주 브레튼우즈에서 44개 연합국 대표들이 새로운 국제통화제도 구축을 위해 체결한 협정에 따라 발족한 국제통화체제를 말한다.
브렉시트(Brexit)	영국(Britain)과 탈퇴(Exit)의 합성어로 영국의 유럽연합(EU) 탈퇴를 뜻한다.
브릭스	2000년대를 전후하여 빠른 경제성장세를 보인 브라질, 러시아, 인도, 중국, 남아프리카 공화국 등 5개국을 지칭하는 용어이다.
블록체인	블록체인(block chain)은 ① 일정 시간 동안 발생한 모든 거래정보를 블록(block) 단위로 기록하여 ② 모든 구성원들에게 전송하고 ③ 블록의 유효성이 확보될 경우 이 새 블록을 ④ 기존의 블록에 추가 연결(chain)하여 보관하는 방식의 알고리즘이다.
블록체인과 탈중앙화	블록체인은 공유 네트워크를 통해 데이터를 저장함으로써 데이터의 중앙 집중 보관에 따르는 리스크를 제거한다.
비관측경제(NOE)	비관측경제(NOE; Non-observed Economy)란 합법적이건 불법적이건 모든 경제적 거래에서 발생한 소득을 포함해야 하는 국내총생산(GDP)의 추계시 이용되는 기초자료와 행정자료가 지하경제나 불법생산 등을 반영하기가 어려워 누락된 경제활동을 의미한 다.
비교우위	국가 간 무역이 발생하게 되는 원리를 설명한 이론으로 자국 상품의 생산비용이 외국 상품과 비교해 우위를 가질 경우 이러한 상품, 즉 비교우위를 가진 상품의 생산에 특화하여 다른 국가와 무역을 하는 것이 유리하다는 것이다.
비용인상 인플레이션	재화나 서비스의 생산과 관련하여 투입요소의 비용 상승에 의해 물가가 지속적으로 상승하게 되는 것을 비용인상 인플레이션(cost-push inflation)이라고 한다.
비트코인	비트코인(bitcoin)은 가상통화(암호통화)이자 디지털 지급시스템이다.
빅데이터	빅데이터(big data)란 복잡하고 다양한 대규모 데이터세트 자체는 물론 이 데이터세트로부터 정보를 추출하고 결과를 분석하여 더 큰 가치를 창출하는 기술을 뜻한다.
빅맥지수	빅맥(Big Mac)지수는 각국 통화의 구매력 정도 또는 환율 수준을 측정하기 위해 일물일가의 법칙을 햄버거 가격에 적용한 것으로 영국에서 발행되는 주간 경제전문지 이코노미스트지(The Economist)에서 1986년 이래 매년 전 세계적으로 판매되고 있는 맥도날드의 빅맥가격을 비교 분석해서 발표하고 있다.
